Nombre,Categoría,Calificación,Precio promedio (USD),Número de reseñas,Latitud,Longitud,geometry,departamento
Restaurante 102,Colombiana,3.5,41,118,3.47,-75.38,POINT (-75.38 3.47),TOLIMA
Restaurante 103,Mexicana,3.2,16,185,3.9,-74.7,POINT (-74.7 3.9),TOLIMA
Restaurante 104,Japonesa,1.9,17,145,6.32,-76.07,POINT (-76.07 6.32),ANTIOQUIA
Restaurante 105,China,2.4,16,168,5.28,-76.47,POINT (-76.47 5.28),CHOCO
Restaurante 106,Italiana,3.5,25,423,4.75,-75.5,POINT (-75.5 4.75),RISARALDA
Restaurante 107,Peruana,4.4,40,323,3.64,-74.9,POINT (-74.9 3.64),TOLIMA
Restaurante 108,Peruana,4.0,36,407,5.41,-75.28,POINT (-75.28 5.41),CALDAS
Restaurante 109,Peruana,3.2,42,415,3.81,-74.36,POINT (-74.36 3.81),BOGOTA D.C.
Restaurante 110,Italiana,2.4,38,387,5.41,-75.46,POINT (-75.46 5.41),CALDAS
Restaurante 111,Francesa,2.5,17,226,6.34,-75.75,POINT (-75.75 6.34),ANTIOQUIA
Restaurante 112,Mexicana,4.5,42,410,5.0,-74.3,POINT (-74.3 5),CUNDINAMARCA
Restaurante 113,Japonesa,1.2,28,286,4.04,-75.52,POINT (-75.52 4.04),TOLIMA
Restaurante 114,Peruana,5.0,30,321,5.28,-75.85,POINT (-75.85 5.28),RISARALDA
Restaurante 115,Italiana,3.7,30,326,4.94,-76.27,POINT (-76.27 4.94),CHOCO
Restaurante 116,Peruana,3.7,34,187,5.0,-74.6,POINT (-74.6 5),CUNDINAMARCA
Restaurante 117,Francesa,1.2,32,411,4.83,-74.52,POINT (-74.52 4.83),CUNDINAMARCA
Restaurante 118,China,3.4,20,181,5.42,-76.42,POINT (-76.42 5.42),CHOCO
Restaurante 119,Peruana,2.9,42,93,5.12,-75.64,POINT (-75.64 5.12),CALDAS
Restaurante 120,Francesa,1.4,29,172,6.36,-74.7,POINT (-74.7 6.36),ANTIOQUIA
Restaurante 121,Mexicana,2.1,34,185,5.88,-74.23,POINT (-74.23 5.88),SANTANDER
Restaurante 122,Peruana,4.6,35,416,4.19,-75.59,POINT (-75.59 4.19),TOLIMA
Restaurante 123,Francesa,3.2,49,422,5.58,-74.41,POINT (-74.41 5.58),CUNDINAMARCA
Restaurante 124,Italiana,2.7,21,175,4.04,-75.56,POINT (-75.56 4.04),TOLIMA
Restaurante 125,Italiana,1.3,41,488,5.75,-76.07,POINT (-76.07 5.75),ANTIOQUIA
Restaurante 126,Colombiana,3.9,42,324,3.84,-76.49,POINT (-76.49 3.84),VALLE DEL CAUCA
Restaurante 127,Francesa,3.8,19,113,4.82,-75.71,POINT (-75.71 4.82),RISARALDA
Restaurante 128,China,3.5,13,345,5.77,-75.59,POINT (-75.59 5.77),ANTIOQUIA
Restaurante 129,Peruana,3.0,24,281,4.24,-74.23,POINT (-74.23 4.24),CUNDINAMARCA
Restaurante 130,Japonesa,2.7,15,100,5.91,-76.01,POINT (-76.01 5.91),ANTIOQUIA
Restaurante 131,Japonesa,3.4,36,186,5.33,-75.58,POINT (-75.58 5.33),CALDAS
Restaurante 132,Mexicana,1.9,14,207,4.59,-76.44,POINT (-76.44 4.59),CHOCO
Restaurante 133,Colombiana,4.8,14,105,4.67,-74.67,POINT (-74.67 4.67),CUNDINAMARCA
Restaurante 134,Francesa,3.4,27,130,6.18,-74.3,POINT (-74.3 6.18),SANTANDER
Restaurante 135,China,2.2,37,281,4.05,-75.93,POINT (-75.93 4.05),VALLE DEL CAUCA
Restaurante 136,Colombiana,2.8,44,477,5.48,-75.47,POINT (-75.47 5.48),CALDAS
Restaurante 137,Italiana,4.2,31,492,5.52,-76.21,POINT (-76.21 5.52),CHOCO
Restaurante 138,Mexicana,1.6,43,448,6.17,-75.4,POINT (-75.4 6.17),ANTIOQUIA
Restaurante 139,Peruana,2.2,13,375,5.54,-76.18,POINT (-76.18 5.54),CHOCO
Restaurante 140,Peruana,3.7,27,177,5.15,-75.24,POINT (-75.24 5.15),CALDAS
Restaurante 141,Peruana,2.3,35,175,6.11,-74.74,POINT (-74.74 6.11),ANTIOQUIA
Restaurante 142,Francesa,4.2,31,366,5.89,-75.17,POINT (-75.17 5.89),ANTIOQUIA
Restaurante 143,Japonesa,1.5,42,129,5.55,-75.91,POINT (-75.91 5.55),ANTIOQUIA
Restaurante 144,China,4.1,23,426,3.5,-75.65,POINT (-75.65 3.5),TOLIMA
Restaurante 145,Peruana,1.3,40,406,4.52,-74.97,POINT (-74.97 4.52),TOLIMA
Restaurante 146,Peruana,1.1,19,456,5.3,-75.08,POINT (-75.08 5.3),CALDAS
Restaurante 147,Italiana,4.6,33,382,4.97,-76.17,POINT (-76.17 4.97),CHOCO
Restaurante 148,Colombiana,3.3,30,224,4.36,-74.47,POINT (-74.47 4.36),CUNDINAMARCA
Restaurante 149,Peruana,2.4,17,194,3.83,-75.36,POINT (-75.36 3.83),TOLIMA
Restaurante 150,Mexicana,1.9,41,490,5.06,-76.11,POINT (-76.11 5.06),CHOCO
Restaurante 151,Colombiana,3.5,40,175,4.26,-76.21,POINT (-76.21 4.26),VALLE DEL CAUCA
Restaurante 152,Japonesa,3.0,43,231,4.1,-74.18,POINT (-74.18 4.1),BOGOTA D.C.
Restaurante 153,Colombiana,5.0,32,268,4.6,-75.82,POINT (-75.82 4.6),QUINDIO
Restaurante 154,China,4.9,34,485,5.76,-74.32,POINT (-74.32 5.76),CUNDINAMARCA
Restaurante 155,Italiana,3.5,16,327,4.86,-75.51,POINT (-75.51 4.86),RISARALDA
Restaurante 156,Francesa,2.8,28,132,4.05,-75.57,POINT (-75.57 4.05),TOLIMA
Restaurante 157,China,3.0,16,472,3.75,-74.82,POINT (-74.82 3.75),TOLIMA
Restaurante 158,Japonesa,3.7,17,190,4.9,-76.48,POINT (-76.48 4.9),CHOCO
Restaurante 159,Mexicana,1.4,23,383,5.78,-75.69,POINT (-75.69 5.78),ANTIOQUIA
Restaurante 160,Japonesa,2.3,10,144,5.36,-75.77,POINT (-75.77 5.36),RISARALDA
Restaurante 161,Japonesa,1.3,22,414,4.1,-74.42,POINT (-74.42 4.1),CUNDINAMARCA
Restaurante 162,Colombiana,1.3,12,243,4.71,-75.23,POINT (-75.23 4.71),TOLIMA
Restaurante 163,Mexicana,1.8,37,159,5.97,-75.63,POINT (-75.63 5.97),ANTIOQUIA
Restaurante 164,China,2.9,47,101,3.93,-75.86,POINT (-75.86 3.93),VALLE DEL CAUCA
Restaurante 165,Japonesa,4.1,24,152,5.0,-75.08,POINT (-75.08 5),TOLIMA
Restaurante 166,China,2.9,45,150,4.47,-76.14,POINT (-76.14 4.47),VALLE DEL CAUCA
Restaurante 167,Peruana,2.3,12,191,3.77,-75.91,POINT (-75.91 3.77),TOLIMA
Restaurante 168,Peruana,1.3,13,250,3.55,-75.8,POINT (-75.8 3.55),TOLIMA
Restaurante 169,Peruana,3.2,14,368,5.07,-75.04,POINT (-75.04 5.07),TOLIMA
Restaurante 170,Francesa,2.1,35,248,3.46,-75.6,POINT (-75.6 3.46),TOLIMA
Restaurante 171,Colombiana,3.5,34,333,3.71,-75.29,POINT (-75.29 3.71),TOLIMA
Restaurante 172,China,4.9,19,266,4.44,-74.94,POINT (-74.94 4.44),TOLIMA
Restaurante 173,Peruana,1.4,17,95,3.53,-74.2,POINT (-74.2 3.53),META
Restaurante 174,Peruana,1.8,21,77,4.6,-74.66,POINT (-74.66 4.6),CUNDINAMARCA
Restaurante 175,Mexicana,2.9,12,51,3.79,-75.53,POINT (-75.53 3.79),TOLIMA
Restaurante 176,Japonesa,4.9,36,432,4.45,-74.7,POINT (-74.7 4.45),CUNDINAMARCA
Restaurante 177,Peruana,4.1,32,66,5.77,-74.22,POINT (-74.22 5.77),BOYACA
Restaurante 178,Francesa,4.6,49,364,5.28,-75.3,POINT (-75.3 5.28),CALDAS
Restaurante 179,Mexicana,2.3,42,485,4.74,-75.51,POINT (-75.51 4.74),RISARALDA
Restaurante 180,Colombiana,5.0,23,437,3.68,-76.31,POINT (-76.31 3.68),VALLE DEL CAUCA
Restaurante 181,Francesa,1.4,32,126,5.26,-74.36,POINT (-74.36 5.26),CUNDINAMARCA
Restaurante 182,Francesa,1.2,40,436,3.89,-75.91,POINT (-75.91 3.89),VALLE DEL CAUCA
Restaurante 183,Francesa,4.4,22,420,3.63,-76.35,POINT (-76.35 3.63),VALLE DEL CAUCA
Restaurante 184,Japonesa,4.7,21,214,5.39,-75.21,POINT (-75.21 5.39),CALDAS
Restaurante 185,Peruana,1.4,44,146,6.14,-74.47,POINT (-74.47 6.14),BOYACA
Restaurante 186,Italiana,1.5,27,154,4.78,-75.52,POINT (-75.52 4.78),RISARALDA
Restaurante 187,Francesa,1.1,30,73,3.52,-74.62,POINT (-74.62 3.52),HUILA
Restaurante 188,Mexicana,1.4,10,249,6.04,-74.49,POINT (-74.49 6.04),BOYACA
Restaurante 189,Mexicana,1.8,47,84,3.6,-75.41,POINT (-75.41 3.6),TOLIMA
Restaurante 190,Colombiana,4.9,18,51,6.0,-75.08,POINT (-75.08 6),ANTIOQUIA
Restaurante 191,China,3.7,32,338,4.58,-75.22,POINT (-75.22 4.58),TOLIMA
Restaurante 192,China,4.1,-5,381,4.5,-74.25,POINT (-74.25 4.5),CUNDINAMARCA
Restaurante 193,Italiana,4.1,20,391,5.03,-74.76,POINT (-74.76 5.03),TOLIMA
Restaurante 194,Japonesa,3.1,16,187,6.27,-74.28,POINT (-74.28 6.27),SANTANDER
Restaurante 195,Peruana,4.2,40,386,6.1,-75.97,POINT (-75.97 6.1),ANTIOQUIA
Restaurante 196,Japonesa,3.4,33,111,4.81,-75.76,POINT (-75.76 4.81),RISARALDA
Restaurante 197,Peruana,2.3,35,348,5.49,-76.33,POINT (-76.33 5.49),CHOCO
Restaurante 198,Francesa,3.2,39,246,5.14,-75.3,POINT (-75.3 5.14),CALDAS
Restaurante 199,Peruana,3.1,43,426,5.48,-74.4,POINT (-74.4 5.48),CUNDINAMARCA
Restaurante 200,Italiana,4.3,47,108,5.89,-75.72,POINT (-75.72 5.89),ANTIOQUIA
Restaurante 201,Colombiana,4.9,14,314,3.5,-76.19,POINT (-76.19 3.5),VALLE DEL CAUCA
Restaurante 202,Colombiana,2.6,14,382,4.38,-76.34,POINT (-76.34 4.38),VALLE DEL CAUCA
Restaurante 203,China,4.1,28,237,6.28,-75.43,POINT (-75.43 6.28),ANTIOQUIA
Restaurante 204,Colombiana,1.4,47,112,6.25,-76.11,POINT (-76.11 6.25),ANTIOQUIA
Restaurante 205,Francesa,4.1,37,357,3.43,-75.67,POINT (-75.67 3.43),TOLIMA
Restaurante 206,Mexicana,2.5,35,328,4.0,-74.53,POINT (-74.53 4),TOLIMA
Restaurante 207,Colombiana,1.2,32,79,6.38,-75.58,POINT (-75.58 6.38),ANTIOQUIA
Restaurante 208,Italiana,2.5,39,220,4.88,-75.04,POINT (-75.04 4.88),TOLIMA
Restaurante 209,Francesa,3.4,12,70,5.12,-75.29,POINT (-75.29 5.12),TOLIMA
Restaurante 210,Colombiana,1.5,37,348,3.9,-74.78,POINT (-74.78 3.9),TOLIMA
Restaurante 211,Japonesa,4.7,42,250,6.08,-76.13,POINT (-76.13 6.08),ANTIOQUIA
Restaurante 212,Peruana,1.3,12,184,4.09,-74.29,POINT (-74.29 4.09),BOGOTA D.C.
Restaurante 213,Colombiana,4.7,14,321,3.97,-74.96,POINT (-74.96 3.97),TOLIMA
Restaurante 215,Francesa,2.3,10,491,6.16,-76.2,POINT (-76.2 6.16),ANTIOQUIA
Restaurante 216,Colombiana,2.6,47,136,5.51,-76.14,POINT (-76.14 5.51),CHOCO
Restaurante 217,Japonesa,4.0,18,80,5.71,-74.62,POINT (-74.62 5.71),CUNDINAMARCA
Restaurante 218,Mexicana,3.4,14,170,4.53,-75.09,POINT (-75.09 4.53),TOLIMA
Restaurante 219,China,3.7,43,118,6.13,-75.59,POINT (-75.59 6.13),ANTIOQUIA
Restaurante 220,Francesa,2.6,46,183,5.77,-75.7,POINT (-75.7 5.77),ANTIOQUIA
Restaurante 221,Japonesa,3.0,42,420,5.65,-74.45,POINT (-74.45 5.65),CUNDINAMARCA
Restaurante 222,Italiana,5.0,34,498,6.31,-74.4,POINT (-74.4 6.31),SANTANDER
Restaurante 223,Colombiana,1.9,38,364,4.5,-75.1,POINT (-75.1 4.5),TOLIMA
Restaurante 224,Japonesa,2.7,999,461,5.23,-75.24,POINT (-75.24 5.23),CALDAS
Restaurante 225,Peruana,2.2,18,195,6.13,-74.54,POINT (-74.54 6.13),BOYACA
Restaurante 226,Japonesa,4.1,12,382,5.77,-74.7,POINT (-74.7 5.77),CALDAS
Restaurante 227,Japonesa,4.1,24,443,5.09,-75.54,POINT (-75.54 5.09),CALDAS
Restaurante 228,Peruana,2.2,13,312,3.63,-76.3,POINT (-76.3 3.63),VALLE DEL CAUCA
Restaurante 229,China,1.3,47,342,5.36,-74.66,POINT (-74.66 5.36),CUNDINAMARCA
Restaurante 230,Peruana,1.0,29,478,4.98,-76.1,POINT (-76.1 4.98),CHOCO
Restaurante 231,Peruana,2.7,32,135,3.95,-76.46,POINT (-76.46 3.95),VALLE DEL CAUCA
Restaurante 232,Italiana,2.6,46,65,6.05,-74.48,POINT (-74.48 6.05),BOYACA
Restaurante 233,Peruana,5.0,17,265,4.43,-75.11,POINT (-75.11 4.43),TOLIMA
Restaurante 234,Italiana,2.9,46,165,4.56,-74.36,POINT (-74.36 4.56),CUNDINAMARCA
Restaurante 235,Mexicana,2.0,42,167,5.42,-75.34,POINT (-75.34 5.42),CALDAS
Restaurante 236,Peruana,4.6,42,319,4.87,-74.28,POINT (-74.28 4.87),CUNDINAMARCA
Restaurante 237,China,3.0,16,444,3.67,-75.65,POINT (-75.65 3.67),TOLIMA
Restaurante 238,Peruana,3.4,31,392,4.56,-74.76,POINT (-74.76 4.56),CUNDINAMARCA
Restaurante 239,Japonesa,1.4,14,211,3.68,-75.78,POINT (-75.78 3.68),TOLIMA
Restaurante 240,Francesa,2.5,24,237,3.97,-76.5,POINT (-76.5 3.97),VALLE DEL CAUCA
Restaurante 241,China,4.8,30,153,3.42,-75.59,POINT (-75.59 3.42),TOLIMA
Restaurante 242,Peruana,3.4,34,190,3.94,-74.73,POINT (-74.73 3.94),TOLIMA
Restaurante 243,China,2.4,26,216,4.39,-76.14,POINT (-76.14 4.39),VALLE DEL CAUCA
Restaurante 244,Italiana,3.5,16,349,5.01,-75.29,POINT (-75.29 5.01),TOLIMA
Restaurante 245,Mexicana,4.6,28,77,6.16,-75.99,POINT (-75.99 6.16),ANTIOQUIA
Restaurante 246,Mexicana,2.1,16,473,5.02,-76.32,POINT (-76.32 5.02),CHOCO
Restaurante 247,China,3.0,49,321,5.52,-75.02,POINT (-75.02 5.52),CALDAS
Restaurante 248,China,4.8,33,99,4.47,-74.22,POINT (-74.22 4.47),CUNDINAMARCA
Restaurante 249,Peruana,1.7,20,420,5.65,-75.75,POINT (-75.75 5.65),ANTIOQUIA
Restaurante 250,Colombiana,3.9,10,205,5.26,-75.11,POINT (-75.11 5.26),CALDAS
Restaurante 251,Japonesa,3.5,41,373,4.78,-74.21,POINT (-74.21 4.78),CUNDINAMARCA
Restaurante 252,Italiana,3.7,49,397,3.98,-74.94,POINT (-74.94 3.98),TOLIMA
Restaurante 253,Japonesa,2.4,11,170,4.31,-74.88,POINT (-74.88 4.31),CUNDINAMARCA
Restaurante 254,Francesa,2.3,24,493,5.26,-76.07,POINT (-76.07 5.26),RISARALDA
Restaurante 255,Francesa,3.7,30,189,4.68,-75.32,POINT (-75.32 4.68),TOLIMA
Restaurante 256,Mexicana,1.9,33,65,6.07,-75.62,POINT (-75.62 6.07),ANTIOQUIA
Restaurante 257,Italiana,2.7,26,358,4.1,-75.37,POINT (-75.37 4.1),TOLIMA
Restaurante 258,Japonesa,1.8,18,487,3.62,-74.58,POINT (-74.58 3.62),HUILA
Restaurante 259,Mexicana,1.0,44,98,5.17,-75.39,POINT (-75.39 5.17),CALDAS
Restaurante 260,Francesa,4.9,29,213,6.06,-76.35,POINT (-76.35 6.06),CHOCO
Restaurante 261,China,2.7,28,111,4.49,-74.33,POINT (-74.33 4.49),CUNDINAMARCA
Restaurante 262,Italiana,4.9,27,389,5.34,-75.19,POINT (-75.19 5.34),CALDAS
Restaurante 263,Italiana,1.6,29,203,4.09,-74.28,POINT (-74.28 4.09),BOGOTA D.C.
Restaurante 264,Japonesa,3.3,39,361,5.08,-75.13,POINT (-75.13 5.08),TOLIMA
Restaurante 265,Peruana,1.8,49,425,5.76,-76.33,POINT (-76.33 5.76),CHOCO
Restaurante 266,Colombiana,4.2,10,395,6.0,-75.17,POINT (-75.17 6),ANTIOQUIA
Restaurante 267,Japonesa,4.1,33,199,3.72,-75.12,POINT (-75.12 3.72),TOLIMA
Restaurante 268,China,1.5,33,425,4.47,-75.99,POINT (-75.99 4.47),VALLE DEL CAUCA
Restaurante 269,Peruana,4.6,28,122,5.32,-75.37,POINT (-75.37 5.32),CALDAS
Restaurante 270,Peruana,1.8,39,118,3.5,-75.4,POINT (-75.4 3.5),TOLIMA
Restaurante 271,Peruana,3.5,35,226,5.47,-75.01,POINT (-75.01 5.47),CALDAS
